User Id,ISBN,Puan
2,9786051416199,7
2,9786050924855,6
2,9789123504985,6
2,9789759960858,8
2,9786054228218,8
2,9789754700220,7
2,9789752892576,9
2,9786058301153,5
3,9786053609322,6
3,9789750718533,10
3,9786053607038,10
3,9786050931501,9
3,9789754587029,6
3,9786050929997,7
3,9789750807146,8
3,9786053328582,7
3,9789750719363,10
3, 9789752201279,8
3,9789752110595,10
3,9786052954591,4
3,9786055147709,10
3,9789754588316,6
3,9789755705866,5
3,9786053325536,9
3,9786055420314,5
3,9789752894402,8
3,9786050905441,10
3,9786053750666,6
3,9786056785955,8
3,9789752897373,10
3,9786050950281,8
3,9786050918038,8
3,9789752897434,9
3,9789750826672,7
3,9786053609308,9
3,9786052950364,8
3,9789759915315,6
3,9789750825910,5
3,9789753632607,10
3,9789753425988,7
3,9789752201695,5
3,9789750815546,10
3,9789757747116,9
3,9789750520976,9
3,9789752430297,10
3,9789755100173,5
3,9786052952528,5
3,9789754588422,8
3,9786054263707,6
3,9789759914943,7
3,9789759917975,5
3,9786051067582,7
3,9789754370508,5
3,9786053482833,7
3,9789754733990,7
3,9789753426046,7
3,9789944886260,6
3,9786051110455,10
3,9786053326168,6
3,9786050907995,6
3,9786051410722,10
3,9789754731927,8
3,9789754588255,7
3,9786055514051,9
3,9786053435938,10
3,9789750845550,5
3,9786054054930,9
3,9789753901505,7
3,9786053327608,8
3,9786059702249,7
3,9752897472,5
3,9786051140957,8
3,9786052953204,10
3,9786051715124,7
3,9786055358822,5
3,9786050812411,6
3,6054263134,4
3,9786051850313,5
3,9789754370263,10
3,9786055482596,6
3,9789754055858,9
3,9789759969158,8
3,9789754032710,6
3,9786051420356,9
3,9786050934694,10
3,9789752733947,7
3,9789753423472,7
3,9786051067247,8
3,9789759914981,10
3,9786053846796,8
3,9786050935721,6
3,9786054702138,7
3,9786054737345,4
3,9789753900690,7
3,9786052111338,6
3,9789750723353,7
3,9789944485838,5
3,9786054729692,10
3,9789750505669,8
3,9786053434436,5
3,9789755395913,4
3,9789944825955,5
3,9789751027207,8
3,9786051069227,3
3,9786055262693,10
3,9789752677043,6
3,9786055147747,7
3,9786053433156,3
4,9789750719400,9
4,9789750719387,6
4,9789750718533,10
4,9789750724756,6
4,9789755706849,10
4,9789754700114,7
4,9789750835605,4
4,9789756902165,9
4,9786054322374,5
4,9789750807146,9
4,9789750739606,9
4,9786054263783,4
4,9789944888035,10
4,9789752430990,8
4,9786053606741,6
4,9754378023,6
4,9789750719622,7
4,9786050906486,10
4,9789750803024,10
4,9789750725050,8
4,9789750500848,10
4,9789753633383,7
4,9786053322696,6
4,9789750809958,6
4,9789754050226,9
4,9789750723322,9
4,9786052951569,7
4,9786059078368,8
4,9789759997441,10
4,9789759914332,8
4,9786053754428,4
4,9789750831331,5
4,9789754081657,6
4,9789750825910,5
4,9789754050943,10
4,9786054456420,9
4,9786059840736,5
4,9786054188239,6
4,9786054994908,6
4,9789758607129,6
4,9786050820416,6
4,9786055147723,7
4,9786050825992,8
4,9786053480310,7
4,9789755708959,8
4,9789754584141,7
4,9789758180318,9
4,9786054429325,8
4,9786051420646,6
4,9786053439042,5
4,9789753423984,7
4,9789750807459,5
4,9786050915037,4
4,9789753420723,8
4,9786053848899,10
4,9786059840675,6
4,9786059021050,5
4,6055943868,4
4,9789754731927,5
4,9786053114109,8
4,9789750821073,9
4,9755101415,9
4,9789750845550,7
4,9789759953560,9
4,9786053327608,4
4,9789753422666,9
4,9789756717073,7
4,9789754378061,8
4,9786051140957,9
4,9786051410036,8
4,9789750803507,5
4,9786051111223,4
4,9789750835292,8
4,978-975-991-488-2,9
4,9786051551920,8
4,9786051416212,6
4,9789759916169,5
4,9786053110842,6
4,9789754374066,9
4,9786054263226,9
4,9789759038496,10
4,9786056842689,4
4,9786051067247,9
4,9786054607808,9
4,9786052361726,6
4,9786054702138,9
4,9789754707823,7
4,9786050946314,9
4,9786051416267,7
4,9786054188413,5
4,9789944825948,10
4,9789750723353,7
4,9786050933567,4
4,9786050911992,5
4,9789756503485,8
4,9786053434436,8
4,9786051421131,10
4,9786055537357,8
4,9786055034092,10
4,9786052398111,8
5,9789752891456,6
5,9789753638037,9
5,9789754582901,8
5,9786053324249,5
5,9786053430674,6
5,9786051411224,10
5,9789756902165,10
5,9789754370539,9
5,9789752897458,7
5,9789758434572,8
5,9789751026491,8
5,9786050904192,10
5,9786053603535,7
5,9789753634560,5
5,9789944888004,9
5,9789944821551,9
5,9789756093139,10
5,9789750809777,9
5,9789750735639,5
5,9789758950119,7
5,9789752111929,8
5,9789752897366,8
5,9786055261122,7
5,9789758180127,9
5,9786053848806,9
5,9789750807411,8
5,9789750708275,10
5,9789750805288,9
5,9786053321170,7
5,9789754586923,8
5,9786054456000,9
5,9789754587203,9
5,9786052954836,10
5,9789752894532,6
5,9786054482658,4
5,9789759915315,9
5,9789754081657,10
5,9786053480600,6
5,9789759997694,7
5,9789755107677,8
5,9789753632607,8
5,9789754378009,7
5,9786059840736,8
5,9789757747116,8
5,9789753631570,10
5,9789756963050,10
5,9789123494293,9
5,9786059126397,5
5,9789756093153,6
5,9786055943394,8
5,9786055147723,5
5,9789750723209,4
5,9786050825992,6
5,9789753421812,9
5,9789750726170,7
5,9789753638326,10
5,9786053480310,9
5,9789750721670,9
5,9786053327189,6
5,9786052990384,8
5,9786053325949,9
5,9786050940596,5
5,9786051064420,5
5,9786052982617,9
5,9789750502637,8
5,9786055943783,8
5,9789755702513,6
5,9786053326168,5
5,9789759960513,8
5,9752119277,10
5,9789754378047,5
5,9789759967956,10
5,9789754731927,7
5,9789754588255,8
5,9786054456307,5
5,9786051111223,8
5,9786056323942,7
5,9786051551920,10
5,9786052680064,7
5,9789754370263,7
5,9789754706482,6
5,9789758950386,10
5,9786055289218,8
5,9789752733947,10
5,9786053111795,6
5,9786051424521,5
5,9789753420037,7
5,9786054994076,5
5,9789750723537,5
5,9789751026606,5
5,9789750805486,6
5,9786056587887,5
5,9789750731433,6
5,9786054188413,6
5,9789756963388,9
5,9786054117628,9
5,9786050017021,4
5,9789758363049,5
5,9789754050134,7
5,9786050925166,6
6,9786053609322,9
6,9789750726439,10
6,9786053603511,5
6,9789944885706,7
6,9789752103924,9
6,9786053608288,9
6,9789758434572,6
6,9789944821094,10
6,9789750712814,9
6,9786050904192,7
6, 9789752201279,10
6,9789752110595,6
6,9789752897380,8
6,9789750813870,8
6,9786050807073,9
6,9789750725050,5
6,9789759914615,8
6,9789752105737,8
6,9789750807411,7
6,9786050905441,8
6,9786059078368,5
6,9789750805288,7
6,9789754700084,4
6,9786054771769,7
6,9789758950379,8
6,9789755105116,9
6,9789754700671,10
6,9789752894532,10
6,9789754378016,10
6,9789753425988,6
6,9786055107352,6
6,9789750725036,5
6,9789750807030,8
6,9786059670616,6
6,9786055420154,8
6,9789944979665,6
6,9786053327547,6
6,9786054263608,7
6,9786051731438,9
6,9789750502057,8
6,9789750501982,9
6,9786053431893,9
6,9786054560875,9
6,9786059913553,8
6,9786054054206,5
6,9789944884051,8
6,9786053607199,5
6,9786053322528,5
6,9786051420646,6
6,9789753426046,10
6,9789750719493,10
6,9789750712913,7
6,9786054764716,8
6,9786053754756,8
6,9786059840675,5
6,9789756195130,8
6,9789754707885,8
