Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı 
Hacı Murat,"Lev Nikolayeviç Tolstoy, Mazlum Beyhan (Çevirmen)",null,6 Mayıs 2019,165,Karton kapak,9789944883856,"Dünya Klasikleri, Edebiyat, Roman",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%4.414-17 Yaş%5.218-24 Yaş%21.525-34 Yaş%33.235-44 Yaş%2345-54 Yaş%9.555-64 Yaş%1.465+ Yaş%1.9,Kadın%40.4Erkek%59.6,7.8,701
Göğü Delen Adam,"Erich Scheurmann, Levent Tayla (Çevirmen)",null,1993,112,Karton kapak,9789755393407,Sosyoloji,Der Papalagi,Levent Taylan,Türkçe,null,null,null,0-13 Yaş%7.814-17 Yaş%418-24 Yaş%29.325-34 Yaş%39.435-44 Yaş%11.245-54 Yaş%4.955-64 Yaş%1.165+ Yaş%2.3,Kadın%63.5Erkek%36.4,8.5,952
Hasret,Canan Tan,null,Mart 2013,352,Karton kapak,9786050913149,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%7.214-17 Yaş%7.618-24 Yaş%20.725-34 Yaş%20.935-44 Yaş%28.145-54 Yaş%13.655-64 Yaş%1.665+ Yaş%0.2,Kadın%86.7Erkek%13.2,8.5,569
Bir Adam Girdi Şehre Koşarak,Tarık Tufan,null,Mayıs 2016,120,Karton kapak,9789759962814,"Deneme-İnceleme, Edebiyat",null,null,Türkçe,Türkiye,Profil Yayıncılık,null,0-13 Yaş%6.414-17 Yaş%7.918-24 Yaş%33.225-34 Yaş%36.235-44 Yaş%11.145-54 Yaş%2.355-64 Yaş%1.565+ Yaş%1.5,Kadın%74.1Erkek%25.8,8.4,720
Günahkâr,"Tess Gerritsen, Selim Yeniçeri (Çevirmen)",Rizzoli & Isles Serisi 3,Eylül 2012,416,Karton kapak,9786053480310,"Edebiyat, Polisiye, Roman",Sinner,null,Türkçe,null,null,null,0-13 Yaş%1.614-17 Yaş%3.818-24 Yaş%3125-34 Yaş%26.735-44 Yaş%25.845-54 Yaş%955-64 Yaş%0.965+ Yaş%1.1,Kadın%79.8Erkek%20.2,8.6,649
Gör Beni,"Akilah Azra Kohen, Funda Acar (Editör), Emir Tali (Tasarımcı)",İki Devrin Hikayesi,18 Haziran 2019,592,Karton kapak,9786051853635,"Edebiyat, Roman",Gör Beni,null,Türkçe,null,null,null,10%46.5 (571)9%21.8 (268)8%16 (197)7%7 (86)6%2.7 (33)5%1.7 (21)4%1 (12)3%0.4 (5)2%1 (12)1%1.9 (23),null,8.7,1.228
Suskunlar,İhsan Oktay Anar,null,Kasım 2018,269,Karton kapak,9789750505386,"Edebiyat, Roman",null,null,Türkçe,Türkiye,İletişim Yayınevi,null,0-13 Yaş%3.514-17 Yaş%1.218-24 Yaş%14.125-34 Yaş%37.135-44 Yaş%34.745-54 Yaş%7.155-64 Yaş%1.265+ Yaş%1.2,Kadın%54Erkek%46,8.8,918
Yüzüklerin Efendisi - Kralın Dönüşü,"J. R. R. Tolkien, Bülent Somay (Çevirmen), Çiğdem Erkal İpek (Çevirmen)",Üçüncü Kısım,Nisan 2018,428,Karton kapak,9789753422024,"Edebiyat, Fantastik, Roman",The Lord of The Rings Third Part,null,Türkçe,null,null,null,0-13 Yaş%2.814-17 Yaş%2.518-24 Yaş%24.825-34 Yaş%29.735-44 Yaş%29.945-54 Yaş%8.455-64 Yaş%0.765+ Yaş%1.2,Kadın%43.4Erkek%56.6,9.6,898
Kabil,"José Saramago, Işık Ergüden (Çevirmen)",null,30 Ekim 2018,139,Karton kapak,9789944756938,"Edebiyat, Roman",Kaim,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.514-17 Yaş%1.318-24 Yaş%16.825-34 Yaş%37.635-44 Yaş%28.645-54 Yaş%7.355-64 Yaş%265+ Yaş%2,Kadın%54.3Erkek%45.7,7.8,960
Sherlock Holmes - Dörtlerin İmzası,"Arthur Conan Doyle, Deniz Güldürmez (Çevirmen)",null,Şubat 2017,208,Karton kapak,9786059840682,"Dünya Klasikleri, Edebiyat, Polisiye, Roman",The Sign of Four,null,Türkçe,Türkiye,null,null,0-13 Yaş%6.514-17 Yaş%12.518-24 Yaş%28.625-34 Yaş%32.135-44 Yaş%11.945-54 Yaş%5.455-64 Yaş%1.265+ Yaş%1.8,Kadın%53Erkek%47,8.4,785
Vurun Kahpeye,Halide Edib Adıvar,Selim İleri'nin sonsözüyle,Nisan 2019,216,Karton kapak,9789750721670,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%3.414-17 Yaş%418-24 Yaş%17.625-34 Yaş%33.435-44 Yaş%23.445-54 Yaş%12.755-64 Yaş%3.665+ Yaş%1.8,Kadın%75.3Erkek%24.7,8.5,586
Başucumda Müzik,Kürşat Başar,null,21 Haziran 2019,440,Karton kapak,9789752893429,"Aşk, Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%4.614-17 Yaş%2.118-24 Yaş%17.925-34 Yaş%29.835-44 Yaş%30.645-54 Yaş%12.755-64 Yaş%1.565+ Yaş%0.7,Kadın%90.4Erkek%9.6,8.1,670
Kuşlar da Gitti,Yaşar Kemal,null,Nisan 2019,79,Karton kapak,9789750807219,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%5.114-17 Yaş%7.518-24 Yaş%22.525-34 Yaş%34.835-44 Yaş%20.145-54 Yaş%5.455-64 Yaş%1.565+ Yaş%3,Kadın%59.2Erkek%40.8,8.4,795
Yalnızlık Paylaşılmaz,Özdemir Asaf,null,Ağustos 2017,120,Karton kapak,9789750828928,"Edebiyat, Şiir",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%4.614-17 Yaş%11.318-24 Yaş%27.125-34 Yaş%26.935-44 Yaş%1945-54 Yaş%7.155-64 Yaş%0.865+ Yaş%3.1,Kadın%65.9Erkek%33.8,8.6,685
Küçük Arı,"Chris Cleave, Nalan İşık Çeper (Çevirmen)",null,2011,344,Karton kapak,6054263370,Roman,Little Bee,Nalan İşık Çeper ,Türkçe,null,null,null,0-13 Yaş%4.614-17 Yaş%2.818-24 Yaş%24.525-34 Yaş%28.335-44 Yaş%26.645-54 Yaş%1155-64 Yaş%1.365+ Yaş%0.8,Kadın%85.5Erkek%14.5,7.7,628
Şeytan Yemini,"Jean-Christophe Grangé, Tankut Gökçe (Çevirmen), Şevket Deniz (Çevirmen)",null,Nisan 2019,519,Karton kapak,9789759913687,"Edebiyat, Polisiye, Roman",Les Serment Des Limbes,null,Türkçe,Türkiye,null,null,0-13 Yaş%2.414-17 Yaş%2.418-24 Yaş%18.925-34 Yaş%35.435-44 Yaş%31.545-54 Yaş%8.255-64 Yaş%0.665+ Yaş%0.6,Kadın%65.4Erkek%34.6,8.6,712
Othello,"William Shakespeare, Özdemir Nutku (Çevirmen)",null,Nisan 2019,160,Karton kapak,9789944884518,"Dünya Klasikleri, Edebiyat, Senaryo-Oyun, Tiyatro",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%3.214-17 Yaş%6.618-24 Yaş%2925-34 Yaş%36.935-44 Yaş%16.245-54 Yaş%4.955-64 Yaş%0.265+ Yaş%2.9,Kadın%64.6Erkek%35.4,8.7,667
Küçük Şeyler 1,Üstün Dökmen,Deniz Kabukları,Nisan 2013,168,Karton kapak,9789751413000,"İnsan ve Toplum, Kişisel Gelişim, Psikoloji",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.314-17 Yaş%2.818-24 Yaş%14.525-34 Yaş%37.435-44 Yaş%28.745-54 Yaş%10.855-64 Yaş%0.965+ Yaş%0.5,Kadın%73.2Erkek%26.8,8.1,455
Hakkari'de Bir Mevsim,Ferit Edgü,40. Yıl Özel Basım,Ekim 2017,194,Karton kapak,9789755708959,"Edebiyat, Roman",Hakkari'de Bir Mevsim,null,Türkçe,null,null,null,0-13 Yaş%6.914-17 Yaş%3.318-24 Yaş%25.625-34 Yaş%41.135-44 Yaş%16.845-54 Yaş%3.855-64 Yaş%1.365+ Yaş%1.3,Kadın%64.1Erkek%35.9,8.9,1.060
Son Kuşlar,Sait Faik Abasıyanık,null,Ekim 2012,144,Karton kapak,9786053607199,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,İş Bankası Kültür Yayınları,null,0-13 Yaş%6.814-17 Yaş%8.518-24 Yaş%28.825-34 Yaş%33.535-44 Yaş%15.545-54 Yaş%4.455-64 Yaş%0.665+ Yaş%1.9,Kadın%67.6Erkek%32.3,8.1,612
Azil,Hakan Günday,Deha ve Delilik Arasında Seyreden Bir Hayat...,Ağustos 2012,215,Karton kapak,9789759917975,"Roman, Yeraltı Edebiyatı",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.914-17 Yaş%0.818-24 Yaş%22.225-34 Yaş%37.735-44 Yaş%25.845-54 Yaş%6.255-64 Yaş%0.865+ Yaş%1.6,Kadın%57.7Erkek%42.3,8.5,832
Ben Sana Mecburum,Attila İlhan,null,17 Ocak 2019,160,Karton kapak,9789754584141,"Edebiyat, Şiir",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%3.214-17 Yaş%4.518-24 Yaş%25.425-34 Yaş%35.135-44 Yaş%21.445-54 Yaş%8.155-64 Yaş%0.965+ Yaş%1.4,Kadın%62.6Erkek%37.3,8.4,540
Zamanın Kısa Tarihi,"Stephen W. Hawking, Barış Gönülşen (Çevirmen)",null,Ekim 2013,255,Karton kapak,9786051067582,Bilim-Teknoloji-Mühendislik,A Brief History of Time,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.314-17 Yaş%10.218-24 Yaş%24.825-34 Yaş%3535-44 Yaş%17.345-54 Yaş%5.955-64 Yaş%1.265+ Yaş%0.3,Kadın%41.6Erkek%58.4,8.6,895
Handan,Ayşe Kulin,4. Kitap,Ekim 2014,272,Karton kapak,9786051417974,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.214-17 Yaş%4.118-24 Yaş%13.625-34 Yaş%24.935-44 Yaş%3445-54 Yaş%15.255-64 Yaş%265+ Yaş%0.9,Kadın%89.8Erkek%10.2,6.8,617
Deliliğe Övgü,"Desiderius Erasmus, Yücel Sivri (Çevirmen)",null,2016,152,Karton kapak,9786053327189,"Felsefe-Düşünce, Psikoloji",Stultitiae Laus,Yücel Sivri,Türkçe,null,null,null,0-13 Yaş%6.114-17 Yaş%2.718-24 Yaş%26.725-34 Yaş%34.735-44 Yaş%21.445-54 Yaş%6.155-64 Yaş%0.465+ Yaş%1.9,Kadın%53.7Erkek%46.3,7.8,682
Alemdağ'da Var Bir Yılan,Sait Faik Abasıyanık,null,Ekim 2012,136,Karton kapak,9786053607205,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,İş Bankası Kültür Yayınları,null,0-13 Yaş%3.314-17 Yaş%5.118-24 Yaş%23.225-34 Yaş%42.735-44 Yaş%1745-54 Yaş%4.355-64 Yaş%1.865+ Yaş%2.5,Kadın%56.3Erkek%43.7,8.3,730
Şah Mat,"Mario Mazzanti, Güliz Akyüz (Çevirmen)",null,Haziran 2016,512,Karton kapak,9786053844334,"Edebiyat, Polisiye, Roman",Scacco alla regina,Güliz Akyüz Yıldırım,Türkçe,null,null,null,0-13 Yaş%4.514-17 Yaş%7.518-24 Yaş%24.925-34 Yaş%24.635-44 Yaş%28.145-54 Yaş%955-64 Yaş%0.465+ Yaş%1.1,Kadın%69.5Erkek%30.4,8.2,774
İşte Hayat,İpek Ongun,Bir Genç Kızın Gizli Defteri 5,Aralık 2012,496,Karton kapak,9786054560882,"Edebiyat, Gençlik, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.614-17 Yaş%13.918-24 Yaş%34.525-34 Yaş%3435-44 Yaş%8.845-54 Yaş%1.955-64 Yaş%0.565+ Yaş%0.7,Kadın%98Erkek%2,8.2,295
Göçebe,"Stephenie Meyer, Mine Atafırat (Çevirmen), Ayşe Tunca (Editör)",null,Mart 2013,680,Karton kapak,9789944821384,"Bilim-Kurgu, Edebiyat, Fantastik, Roman",The Host,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.314-17 Yaş%5.718-24 Yaş%39.125-34 Yaş%27.335-44 Yaş%16.345-54 Yaş%6.855-64 Yaş%0.265+ Yaş%0.3,Kadın%90.5Erkek%9.4,8.4,637
Yabancı - Şahmeran,"Öznur Yıldırım, Gizem Aldoğan (Editör), Cansu Gümüş (Tasarımcı), Yunus Bora Ülke (Tasarımcı)",Yabancı #1,13 Kasım 2016,600,Ciltli,9786052990384,"Edebiyat, Roman",Yabancı - Şahmeran,null,Türkçe,null,null,null,0-13 Yaş%7.914-17 Yaş%48.318-24 Yaş%30.725-34 Yaş%5.735-44 Yaş%5.245-54 Yaş%0.555-64 Yaş%0.265+ Yaş%1.5,Kadın%97.2Erkek%2.7,8.1,888
Kırmızı ve Siyah,"Stendhal, Bertan Onaran (Çevirmen)",null,19 Mart 2019,652,Karton kapak,9786053320043,"Dünya Klasikleri, Edebiyat, Roman",Le Rouge et Le Noir,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.314-17 Yaş%3.118-24 Yaş%21.525-34 Yaş%32.135-44 Yaş%23.945-54 Yaş%11.355-64 Yaş%2.265+ Yaş%1.5,Kadın%61.3Erkek%38.7,8.0,632
Koloni,"Jean-Christophe Grangé, Tankut Gökçe (Çevirmen)",null,Nisan 2009,424,Karton kapak,9786051112909,"Edebiyat, Macera-Aksiyon, Polisiye, Roman",Miserere,Tankut Gökçe,Türkçe,null,null,null,0-13 Yaş%3.114-17 Yaş%1.718-24 Yaş%17.425-34 Yaş%31.235-44 Yaş%34.145-54 Yaş%1155-64 Yaş%0.565+ Yaş%0.9,Kadın%66.9Erkek%33,8.2,638
Mavi Kuş,Mustafa Kutlu,null,2011,211,Karton kapak,9789759953102,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Dergâh Yayınları,null,0-13 Yaş%10.614-17 Yaş%13.318-24 Yaş%28.625-34 Yaş%30.235-44 Yaş%12.245-54 Yaş%2.755-64 Yaş%1.665+ Yaş%0.8,Kadın%77.2Erkek%22.7,8.2,594
Firarperest,Elif Şafak,null,Ocak 2013,236,Karton kapak,9786051119021,"Deneme-İnceleme, Edebiyat",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%514-17 Yaş%3.518-24 Yaş%22.325-34 Yaş%35.735-44 Yaş%23.645-54 Yaş%7.255-64 Yaş%1.265+ Yaş%1.6,Kadın%76.5Erkek%23.5,6.9,455
Bülbülün Kırk Şarkısı,İskender Pala,Hz. Muhammed (Sav) İçin,Mart 2017,590,Karton kapak,9786055147945,"Anlatı, Biyografi, Din (İslam), Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%10.914-17 Yaş%4.918-24 Yaş%18.925-34 Yaş%33.835-44 Yaş%23.845-54 Yaş%4.655-64 Yaş%1.165+ Yaş%2,Kadın%70.4Erkek%29.6,9.4,906
İçimdeki Müzik,"Sharon M. Draper, Zeynep Kürük (Çevirmen)",null,Mart 2016,264,Karton kapak,9786050822038,"Edebiyat, Gençlik, Roman",Out of My Mind,null,Türkçe,Türkiye,null,null,0-13 Yaş%11.614-17 Yaş%4418-24 Yaş%15.625-34 Yaş%16.935-44 Yaş%8.445-54 Yaş%1.855-64 Yaş%0.465+ Yaş%1.3,Kadın%91Erkek%8.8,9.0,1.011
Çöle İnen Nur,Necip Fazıl Kısakürek,null,null,598,Karton kapak,9944700979,"Din (İslam), Edebiyat, Roman",null,null,Türkçe,Türkiye,Hâcegân Yayınları,,0-13 Yaş%8.314-17 Yaş%5.918-24 Yaş%21.825-34 Yaş%32.435-44 Yaş%21.545-54 Yaş%7.455-64 Yaş%1.565+ Yaş%1.2,Kadın%56.9Erkek%43,9.1,820
Gülünün Solduğu Akşam,Erdal Öz,null,Mayıs 2019,288,Karton kapak,9789755100869,"Anı-Mektup-Günlük, Anlatı, Edebiyat",null,null,Türkçe,Türkiye,Can Yayınları,null,0-13 Yaş%3.114-17 Yaş%1.318-24 Yaş%12.525-34 Yaş%25.635-44 Yaş%39.445-54 Yaş%15.555-64 Yaş%1.365+ Yaş%1.2,Kadın%74.9Erkek%25,9.0,583
Abum Rabum,İskender Pala,Bir Hz. İbrahim Romanı,Aralık 2017,528,Karton kapak,9789752448308,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%13.514-17 Yaş%5.218-24 Yaş%11.525-34 Yaş%2635-44 Yaş%29.745-54 Yaş%1255-64 Yaş%0.565+ Yaş%1.6,Kadın%63.8Erkek%36.2,8.6,987
Bir Adam Yaratmak,Necip Fazıl Kısakürek,null,Mart 2008,160,Karton kapak,9789758180318,"Edebiyat, Tiyatro",null,null,Türkçe,Türkiye,Büyük Doğu Yayınları,null,0-13 Yaş%7.214-17 Yaş%6.818-24 Yaş%30.525-34 Yaş%29.135-44 Yaş%18.545-54 Yaş%4.555-64 Yaş%2.165+ Yaş%1.4,Kadın%58.5Erkek%41.3,9.1,805
Pembe İncili Kaftan,Ömer Seyfettin,null,2012,96,Karton kapak,9799753628593,"Çocuk, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Timaş Yayınları,null,0-13 Yaş%2.914-17 Yaş%618-24 Yaş%24.425-34 Yaş%32.135-44 Yaş%21.545-54 Yaş%9.255-64 Yaş%265+ Yaş%1.9,Kadın%68.8Erkek%31.2,7.9,285
Sözde Kızlar,Peyami Safa (Server Bedi),null,Eylül 2016,240,Karton kapak,9789754370508,"Edebiyat, Roman, Türk Klasikleri",Sözde Kızlar,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.814-17 Yaş%5.818-24 Yaş%27.825-34 Yaş%33.735-44 Yaş%19.145-54 Yaş%6.155-64 Yaş%1.265+ Yaş%1.5,Kadın%79.8Erkek%20.2,8.1,505
Oz,"Adam Fawer, Algan Sezgintüredi (Çevirmen)",null,Haziran 2016,384,Karton kapak,9786055162740,"Edebiyat, Fantastik, Roman",null,Algan Sezgintüredi,Türkçe,Türkiye,null,null,0-13 Yaş%6.214-17 Yaş%15.118-24 Yaş%2325-34 Yaş%2835-44 Yaş%20.845-54 Yaş%6.255-64 Yaş%065+ Yaş%0.7,Kadın%69.7Erkek%30.3,5.9,863
Köpek Kalbi,"Mihail Bulgakov, Mustafa Yılmaz (Çevirmen)",null,21 Şubat 2019,132,Karton kapak,9786053325949,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%6.714-17 Yaş%6.718-24 Yaş%26.725-34 Yaş%32.135-44 Yaş%19.645-54 Yaş%5.455-64 Yaş%0.465+ Yaş%2.5,Kadın%61.6Erkek%38.4,8.1,944
Şato,"Franz Kafka, Regaip Minareci (Çevirmen)",null,Mayıs 2017,360,Karton kapak,9786053322528,"Dünya Klasikleri, Edebiyat, Roman",Das Schloss,null,Türkçe,Türkiye,null,null,0-13 Yaş%514-17 Yaş%6.218-24 Yaş%26.825-34 Yaş%35.135-44 Yaş%17.845-54 Yaş%5.255-64 Yaş%2.165+ Yaş%1.9,Kadın%51.6Erkek%48.4,7.6,603
Tanrı Daima Tebdil-i Kıyafet Gezer,"Laurent Gounelle, Işık Ergüden (Çevirmen)",null,Mart 2013,448,Karton kapak,9786055289317,"Edebiyat, Felsefe-Düşünce, Roman",Dieu Voyage Toujours Incognito,null,Türkçe,Türkiye,null,null,0-13 Yaş%414-17 Yaş%1.118-24 Yaş%16.925-34 Yaş%25.235-44 Yaş%34.345-54 Yaş%15.955-64 Yaş%1.365+ Yaş%1.3,Kadın%77.9Erkek%22.1,8.4,811
Damızlık Kızın Öyküsü,"Margaret Atwood, Özcan Kabakçıoğlu (Çevirmen), Sevinç Kabakçıoğlu (Çevirmen)",null,Şubat 2017,384,Karton kapak,9786050940596,"Bilim-Kurgu, Dünya Klasikleri, Edebiyat, Roman",The Handmaid's Tale,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.814-17 Yaş%5.418-24 Yaş%21.925-34 Yaş%34.935-44 Yaş%23.745-54 Yaş%6.155-64 Yaş%0.765+ Yaş%1.4,Kadın%83.4Erkek%16.6,8.2,947
Labirent,"James Dashner, Gizem Yeşildal (Çevirmen)",Labirent Serisi #2,Mayıs 2014,400,Karton kapak,9786053433033,"Bilim-Kurgu, Edebiyat, Fantastik, Macera-Aksiyon, Roman",Maze Runner,Gizem Yeşildal,null,null,null,null,0-13 Yaş%5.614-17 Yaş%42.718-24 Yaş%28.825-34 Yaş%12.835-44 Yaş%6.345-54 Yaş%2.355-64 Yaş%065+ Yaş%1.6,Kadın%80.1Erkek%19.8,8.5,773
Charlie'nin Çikolata Fabrikası,"Roald Dahl, Celal Üster (Çevirmen)",9+ Yaş,Şubat 2005,208,Karton kapak,9789755100982,"Çocuk, Edebiyat, Roman",Charlie And Cholate Factory,Celâl Üster,null,null,null,null,0-13 Yaş%9.514-17 Yaş%22.918-24 Yaş%29.825-34 Yaş%21.435-44 Yaş%1045-54 Yaş%4.555-64 Yaş%0.565+ Yaş%1.4,Kadın%81.7Erkek%18.2,8.9,697
Limon Ağacı,"Sandy Tolan, Engin Wang (Çevirmen)","Bir Arap, Bir Yahudi ve Ortadoğu'nun Kalbi",Ekim 2016,400,Karton kapak,9786055943516,"Edebiyat, Roman, Tarih",The Lemon Tree,null,Türkçe,null,null,null,0-13 Yaş%6.714-17 Yaş%2.218-24 Yaş%17.525-34 Yaş%29.535-44 Yaş%27.845-54 Yaş%13.755-64 Yaş%1.465+ Yaş%1.1,Kadın%76.2Erkek%23.8,7.8,569
Sherlock Holmes - Suç Detayda Saklıdır,"Arthur Conan Doyle, Cumhur Mısırlıoğlu (Çevirmen)",null,Mart 2012,352,Karton kapak,9786055420956,"Edebiyat, Polisiye, Roman",null,null,Türkçe,Türkiye,Martı Yayınları,null,0-13 Yaş%2.514-17 Yaş%13.518-24 Yaş%37.925-34 Yaş%26.935-44 Yaş%12.745-54 Yaş%455-64 Yaş%0.565+ Yaş%2,Kadın%58.7Erkek%41.3,8.5,581
Kitab-ı Aşk,İskender Pala,null,Mart 2005,144,Karton kapak,9786051064420,"Aşk, Deneme-İnceleme, Edebiyat, Tasavvuf-Mezhepler-Tarikatlar",null,null,Türkçe,Türkiye,Alfa Yayıncılık,null,0-13 Yaş%5.914-17 Yaş%2.218-24 Yaş%18.525-34 Yaş%46.535-44 Yaş%19.845-54 Yaş%4.655-64 Yaş%1.565+ Yaş%1.1,Kadın%69Erkek%31,8.2,505
Pembe ve Yusuf,Canan Tan,null,Ekim 2014,295,Karton kapak,9786050922639,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%4.714-17 Yaş%6.618-24 Yaş%18.825-34 Yaş%27.135-44 Yaş%27.945-54 Yaş%12.455-64 Yaş%1.465+ Yaş%1.1,Kadın%90.3Erkek%9.5,7.8,553
Arı Kovanına Çomak Sokan Kız,"Stieg Larsson, Ali Arda (Çevirmen), Zeynep Tür (Editör), Yunus Bora Ülke (Tasarımcı)",Millennium Serisi 3. Kitap,Mayıs 2013,800,Karton kapak,9786054456062,"Aşk, Edebiyat, Polisiye, Roman",Luftslottet som sprängdes,null,Türkçe,null,null,null,0-13 Yaş%3.414-17 Yaş%1.818-24 Yaş%19.425-34 Yaş%24.235-44 Yaş%34.545-54 Yaş%14.855-64 Yaş%1.165+ Yaş%0.8,Kadın%75.7Erkek%24.2,8.9,629
S*ktir Et,"John C. Parkin, Figen Kılavuz (Çevirmen)",null,Şubat 2011,200,Karton kapak,9786054429325,"İnsan ve Toplum, Kişisel Gelişim",F**k It,Figen Kılavuz,Türkçe,null,null,null,0-13 Yaş%4.914-17 Yaş%2.718-24 Yaş%29.625-34 Yaş%30.335-44 Yaş%21.945-54 Yaş%8.855-64 Yaş%0.965+ Yaş%0.9,Kadın%70.5Erkek%29.5,5.2,614
Meczup,"Halil Cibran, Kenan Sarıalioğlu (Çevirmen)",null,2014,64,Karton kapak,9786053322856,"Dünya Klasikleri, Edebiyat, Felsefe-Düşünce, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%1.514-17 Yaş%3.118-24 Yaş%26.525-34 Yaş%42.935-44 Yaş%17.945-54 Yaş%5.155-64 Yaş%165+ Yaş%2,Kadın%61.6Erkek%38.4,7.6,697
Sen On Yedi Yaşımsın,Miraç Çağrı Aktaş,null,Şubat 2017,160,Karton kapak,9786059609388,"Deneme-İnceleme, Edebiyat",null,null,Türkçe,Türkiye,Olimpos Yayınları,null,0-13 Yaş%9.814-17 Yaş%41.418-24 Yaş%21.925-34 Yaş%13.535-44 Yaş%745-54 Yaş%2.355-64 Yaş%0.565+ Yaş%3.7,Kadın%84.3Erkek%15.6,6.6,937
Kuyrukluyıldız Altında Bir İzdivaç,Hüseyin Rahmi Gürpınar,null,Nisan 2018,160,Karton kapak,9786052954171,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%3.614-17 Yaş%7.218-24 Yaş%23.925-34 Yaş%31.235-44 Yaş%16.745-54 Yaş%1355-64 Yaş%2.565+ Yaş%1.8,Kadın%75.6Erkek%24.2,7.7,751
İkiz Bedenler,"Tess Gerritsen, Bahar Çelik (Çevirmen)",Rizzoli & Isles Serisi 4,2014,448,Karton kapak,9786053482833,"Edebiyat, Polisiye, Roman",Body Double,null,Türkçe,null,null,null,0-13 Yaş%1.914-17 Yaş%6.218-24 Yaş%29.825-34 Yaş%26.135-44 Yaş%23.545-54 Yaş%9.755-64 Yaş%1.465+ Yaş%1.4,Kadın%83.3Erkek%16.7,8.8,609
Ölüm Bir Varmış Bir Yokmuş,"José Saramago, Mehmet Necati Kutlu (Çevirmen)",null,17 Haziran 2019,208,Karton kapak,9786052982617,"Edebiyat, Roman",As Intermitências da Morte,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.114-17 Yaş%1.518-24 Yaş%20.725-34 Yaş%37.835-44 Yaş%24.845-54 Yaş%7.855-64 Yaş%2.265+ Yaş%1.1,Kadın%66.2Erkek%33.6,8.0,843
Şibumi,"Trevanian, Belkıs Çorakçı Dişbudak (Çevirmen)",null,2013,456,Karton kapak,9789753900799,"Edebiyat, Polisiye, Roman",Shibumi,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.414-17 Yaş%1.118-24 Yaş%8.925-34 Yaş%27.135-44 Yaş%43.945-54 Yaş%10.955-64 Yaş%1.365+ Yaş%1.5,Kadın%58.4Erkek%41.6,8.8,997
Beş Şehir,Ahmet Hamdi Tanpınar,null,Nisan 2019,224,Karton kapak,978975995694,"Deneme-İnceleme, Edebiyat, Tarih",null,null,Türkçe,Türkiye,Dergah Yayınları,null,0-13 Yaş%4.414-17 Yaş%3.618-24 Yaş%25.825-34 Yaş%37.135-44 Yaş%20.145-54 Yaş%6.155-64 Yaş%1.165+ Yaş%1.7,Kadın%55.2Erkek%44.7,7.8,561
