Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı
Beyaz Zambaklar Ülkesi,"Grigory Petrov, Sabri Gürses (Çevirmen)",null,Ekim 2017,208,Karton kapak,9786053141952,"Dünya Klasikleri, Edebiyat, Roman, Siyaset-Politika, Tarih","Финляндия, страна белых лилий",null,Türkçe,Türkiye,null,null,0-13 Yaş%20.814-17 Yaş%8.918-24 Yaş%2225-34 Yaş%22.835-44 Yaş%16.445-54 Yaş%655-64 Yaş%1.165+ Yaş%2.1,Kadın%58.2Erkek%41.8,8.8,5.896
Otomatik Portakal,"Anthony Burgess, Dost Körpe (Çevirmen)",null,24 Nisan 2009,172,Karton kapak,9789944885706,"Bilim-Kurgu, Dünya Klasikleri, Edebiyat, Roman",A Clockwork Orange,null,Türkçe,Türkiye,null,null,0-13 Yaş%22.214-17 Yaş%16.418-24 Yaş%21.725-34 Yaş%19.135-44 Yaş%13.445-54 Yaş%4.955-64 Yaş%0.465+ Yaş%2,Kadın%66.9Erkek%33.1,8.1,5.791
Da Vinci Şifresi,"Dan Brown, Petek Demir (Çevirmen)",Robert Langdon Serisi 2,Kasım 2003,495,Karton kapak,9789752104037,"Edebiyat, Macera-Aksiyon, Roman","The da Vinci Code (Robert Langdon, #2)",Petek Demir,null,null,null,null,0-13 Yaş%28.414-17 Yaş%6.518-24 Yaş%1325-34 Yaş%2035-44 Yaş%20.845-54 Yaş%8.355-64 Yaş%165+ Yaş%2,Kadın%64.8Erkek%35.1,8.7,4.592
Piraye,Canan Tan,null,Ekim 2003,431,Karton kapak,9789752103924,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Altın Kitaplar,null,0-13 Yaş%30.214-17 Yaş%7.418-24 Yaş%19.125-34 Yaş%20.735-44 Yaş%14.645-54 Yaş%5.255-64 Yaş%0.965+ Yaş%1.9,Kadın%90.7Erkek%9.3,8.0,3.454
Fahrenheit 451,"Ray Bradbury, Dost Körpe (Çevirmen)",null,9 Ağustos 2018,208,Karton kapak,9786053757818,"Bilim-Kurgu, Edebiyat, Roman",Fahrenheit 451,null,Türkçe,Türkiye,null,null,0-13 Yaş%20.914-17 Yaş%20.418-24 Yaş%20.325-34 Yaş%19.435-44 Yaş%11.545-54 Yaş%4.855-64 Yaş%0.265+ Yaş%2.5,Kadın%66.5Erkek%33.5,8.1,6.470
Beyaz Diş,"Jack London, Levent Cinemre (Çevirmen)",null,12 Haziran 2019,258,Karton kapak,9786053600138,"Dünya Klasikleri, Edebiyat, Roman",White Fang,null,Türkçe,Türkiye,null,null,0-13 Yaş%18.414-17 Yaş%17.818-24 Yaş%20.825-34 Yaş%22.635-44 Yaş%13.145-54 Yaş%5.155-64 Yaş%0.365+ Yaş%1.8,Kadın%57.7Erkek%42.3,8.5,4.206
Sineklerin Tanrısı,"William Golding, Mina Urgan (Çevirmen)",null,26 Şubat 2019,261,Karton kapak,9789754582901,"Dünya Klasikleri, Edebiyat, Roman",Lord of the Flies,null,Türkçe,Türkiye,null,null,0-13 Yaş%22.414-17 Yaş%15.918-24 Yaş%1925-34 Yaş%19.335-44 Yaş%15.445-54 Yaş%5.755-64 Yaş%0.665+ Yaş%1.7,Kadın%65.1Erkek%34.9,8.1,5.326
Bülbülü Öldürmek,"Harper Lee, Ülker İnce (Çevirmen), Bilge Sancı (Editör)",Bülbülü Öldürmek #1,Eylül 2014,355,Karton kapak,9789755706849,"Dünya Klasikleri, Edebiyat, Roman, Tarih",To Kill A Mockingbird,null,Türkçe,null,null,null,0-13 Yaş%2214-17 Yaş%14.818-24 Yaş%18.725-34 Yaş%2035-44 Yaş%14.345-54 Yaş%6.755-64 Yaş%0.665+ Yaş%2.8,Kadın%73.8Erkek%26.2,8.5,5.148
Yüreğim Seni Çok Sevdi,Canan Tan,null,Ekim 2016,444,Karton kapak,9786050931501,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%27.914-17 Yaş%5.518-24 Yaş%19.925-34 Yaş%23.135-44 Yaş%1645-54 Yaş%6.155-64 Yaş%0.665+ Yaş%1,Kadın%90.7Erkek%9.2,7.4,3.026
Kırmızı Pazartesi,"Gabriel Garcia Marquez, İnci Kut (Çevirmen)",null,Ocak 2019,112,Karton kapak,9789750721571,"Edebiyat, Roman",Cronica de Una Muerte Anunciada,null,Türkçe,Türkiye,null,null,0-13 Yaş%21.514-17 Yaş%10.218-24 Yaş%22.625-34 Yaş%21.535-44 Yaş%17.445-54 Yaş%4.655-64 Yaş%0.465+ Yaş%1.8,Kadın%67.8Erkek%32.2,7.9,4.686
